	attr_conc.max	attr_conc.mean	attr_conc.median	attr_conc.min	attr_conc.sd	attr_ent.max	attr_ent.mean	attr_ent.median	attr_ent.min	attr_ent.sd	attr_to_inst	cat_to_num	cor.max	cor.mean	cor.median	cor.min	cor.sd	cov.max	cov.mean	cov.median	cov.min	cov.sd	eigenvalues.max	eigenvalues.mean	eigenvalues.median	eigenvalues.min	eigenvalues.sd	g_mean.max	g_mean.mean	g_mean.median	g_mean.min	g_mean.sd	h_mean.max	h_mean.mean	h_mean.median	h_mean.min	h_mean.sd	inst_to_attr	iq_range.max	iq_range.mean	iq_range.median	iq_range.min	iq_range.sd	kurtosis.max	kurtosis.mean	kurtosis.median	kurtosis.min	kurtosis.sd	mad.max	mad.mean	mad.median	mad.min	mad.sd	max.max	max.mean	max.median	max.min	max.sd	mean.max	mean.mean	mean.median	mean.min	mean.sd	median.max	median.mean	median.median	median.min	median.sd	min.max	min.mean	min.median	min.min	min.sd	nr_attr	nr_bin	nr_cat	nr_cor_attr	nr_inst	nr_norm	nr_num	nr_outliers	num_to_cat	range.max	range.mean	range.median	range.min	range.sd	sd.max	sd.mean	sd.median	sd.min	sd.sd	skewness.max	skewness.mean	skewness.median	skewness.min	skewness.sd	sparsity.max	sparsity.mean	sparsity.median	sparsity.min	sparsity.sd	t_mean.max	t_mean.mean	t_mean.median	t_mean.min	t_mean.sd	var.max	var.mean	var.median	var.min	var.sd	id_experimento	reducao
1	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	8.0																	1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		0.125	0.0	0.0	0.0	0.0							0.0	0.0	0.0	0.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		1.0	1.0	1.0	1.0		8	0	8		1		0	0	0.0	0.0	0.0	0.0	0.0																	1.0	1.0	1.0	1.0							42	0.1
1	1.0000000000000018	0.5446428532726204	0.500000005551115	-2.0000001344584462e-08	0.39631009843060344	1.0	0.625	1.0	0.0	0.5175491695067657	4.0		0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.0	0.5	0.5	0.5	0.5	0.0	3.0	0.49999999999999994	-8.564825486514327e-33	-2.854919323124056e-16	1.224744871391589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	0.5	0.5	0.0	-2.75	-2.75	-2.75	-2.75	0.0	0.7413	0.7413	0.7413	0.7413	0.0	1.0	1.0	1.0	1.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	8	5	8	1.0	2		0	0	0.0	1.0	1.0	1.0	1.0	0.0	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.375	0.0	0.0	0.5175491695067657	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	42	0.11
1	1.0000000000000018	0.5446428532726203	0.500000005551115	-2.0000001344584462e-08	0.39631009843060344	1.0	0.625	1.0	0.0	0.5175491695067657	4.0		0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.0	0.5	0.5	0.5	0.5	0.0	3.0	0.49999999999999994	-8.564825486514327e-33	-2.854919323124056e-16	1.224744871391589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	0.5	0.5	0.0	-2.75	-2.75	-2.75	-2.75	0.0	0.7413	0.7413	0.7413	0.7413	0.0	1.0	1.0	1.0	1.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	8	5	8	1.0	2		0	0	0.0	1.0	1.0	1.0	1.0	0.0	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.375	0.0	0.0	0.5175491695067657	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	42	0.12
1	1.0000000000000018	0.46428571015746145	0.5000000027755576	-2.0000001344584462e-08	0.3549282061093089	1.0	0.5	0.5	0.0	0.5345224838248488	4.0							0.5	0.3	0.5	0.0	0.25819888974716115	1.9999999999999996	0.39999999999999986	-1.0719850590747575e-17	-2.017383711987843e-16	0.8944271909999156	1.0	0.2	0.0	0.0	0.44721359549995804	1.0	0.2	0.0	0.0	0.44721359549995804	0.25	0.5	0.4	0.5	0.0	0.22360679774997902						0.7413	0.59304	0.7413	0.0	0.3315194383441188	1.0	1.0	1.0	1.0	0.0	1.0	0.6	0.5	0.5	0.22360679774997902	1.0	0.6	0.5	0.5	0.22360679774997902	1.0	0.2	0.0	0.0	0.44721359549995804	8	4	8	0.6000000000000001	2		0	0	0.0	1.0	0.8	1.0	0.0	0.44721359549995804	0.7071067811865476	0.565685424949238	0.7071067811865476	0.0	0.31622776601683794						1.0	0.5	0.5	0.0	0.5345224838248488	1.0	0.6	0.5	0.5	0.22360679774997902	0.5	0.4	0.5	0.0	0.22360679774997902	42	0.13
1	1.0000000000000018	0.6607142826180967	1.0000000000000018	-2.0000001344584462e-08	0.405722066182412	1.0	0.75	1.0	0.0	0.4629100498862757	4.0		0.9999999999999999	0.9999999999999998	0.9999999999999999	0.9999999999999999	1.137640067256873e-16	0.5	0.5	0.5	0.5	0.0	3.5	0.4999999999999999	3.411931954187688e-33	-9.74776934991386e-16	1.3228756555322954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	0.5	0.5	0.0	-2.75	-2.75	-2.75	-2.75	0.0	0.7413	0.7413	0.7413	0.7413	0.0	1.0	1.0	1.0	1.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	8	6	8	1.0	2		0	0	0.0	1.0	1.0	1.0	1.0	0.0	0.7071067811865476	0.7071067811865477	0.7071067811865476	0.7071067811865476	1.199177923332954e-16	0.0	0.0	0.0	0.0	0.0	1.0	0.25	0.0	0.0	0.4629100498862757	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	42	0.14
1	1.0000000000000018	0.46428571015746145	0.5000000027755576	-2.0000001344584462e-08	0.3549282061093089	1.0	0.5	0.5	0.0	0.5345224838248488	4.0							0.5	0.3	0.5	0.0	0.25819888974716115	1.9999999999999996	0.39999999999999986	-1.0719850590747575e-17	-2.017383711987843e-16	0.8944271909999156	1.0	0.2	0.0	0.0	0.44721359549995804	1.0	0.2	0.0	0.0	0.44721359549995804	0.25	0.5	0.4	0.5	0.0	0.22360679774997902						0.7413	0.59304	0.7413	0.0	0.3315194383441188	1.0	1.0	1.0	1.0	0.0	1.0	0.6	0.5	0.5	0.22360679774997902	1.0	0.6	0.5	0.5	0.22360679774997902	1.0	0.2	0.0	0.0	0.44721359549995804	8	4	8	0.6000000000000001	2		0	0	0.0	1.0	0.8	1.0	0.0	0.44721359549995804	0.7071067811865476	0.565685424949238	0.7071067811865476	0.0	0.31622776601683794						1.0	0.5	0.5	0.0	0.5345224838248488	1.0	0.6	0.5	0.5	0.22360679774997902	0.5	0.4	0.5	0.0	0.22360679774997902	42	0.15
1	1.0000000000000018	0.4642857101574615	0.5000000027755576	-2.0000001344584462e-08	0.3549282061093089	1.0	0.5	0.5	0.0	0.5345224838248488	4.0		0.9999999999999999	0.9999999999999998	0.9999999999999999	0.9999999999999999	1.1702778228589004e-16	0.5	0.5	0.5	0.5	0.0	2.5	0.5	6.007214783675104e-34	-9.573706996852541e-17	1.118033988749895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	0.5	0.5	0.0	-2.75	-2.75	-2.75	-2.75	0.0	0.7413	0.7413	0.7413	0.7413	0.0	1.0	1.0	1.0	1.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	8	4	8	1.0	2		0	0	0.0	1.0	1.0	1.0	1.0	0.0	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.5	0.0	0.5345224838248488	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	42	0.16
1	1.0000000000000018	0.4107142826180959	0.5	-2.0000001344584462e-08	0.23562572932549983	1.0	0.25	0.0	0.0	0.4629100498862757	4.0		0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.0	0.5	0.5	0.5	0.5	0.0	1.4999999999999998	0.49999999999999983	-1.1860671332326657e-17	-1.6653345369377348e-16	0.8660254037844386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	0.5	0.5	0.0	-2.75	-2.75	-2.75	-2.75	0.0	0.7413	0.7413	0.7413	0.7413	0.0	1.0	1.0	1.0	1.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	8	2	8	1.0	2		0	0	0.0	1.0	1.0	1.0	1.0	0.0	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.7071067811865476	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	1.0	0.0	0.4629100498862757	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.5	0.5	0.0	42	0.17
1	1.0000000000000024	0.41964283851095213	0.24999995499999636	-2.5000001444908088e-08	0.3506719107514968	0.9182958340544894	0.6887218755408671	0.9182958340544894	0.0	0.4250883703525229	2.6666666666666665		1.0	0.6666666666666666	0.5	0.49999999999999983	0.24152294576982392	0.33333333333333337	0.22222222222222218	0.16666666666666669	0.16666666666666666	0.08050764858994135	1.6076252185107656	0.3333333333333335	7.666709120466736e-17	-4.7503282530098257e-17	0.6236095644623237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.5	0.5	0.5	0.5	0.0	-2.333333333333333	-2.3333333333333326	-2.333333333333333	-2.333333333333333	4.796711693331816e-16	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.6666666666666666	0.4761904761904762	0.3333333333333333	0.3333333333333333	0.1781741612749496	1.0	0.42857142857142855	0.0	0.0	0.5345224838248487	0.0	0.0	0.0	0.0	0.0	8	6	8	0.5714285714285714	3	0.0	0	0	0.0	1.0	1.0	1.0	1.0	0.0	0.5773502691896258	0.5773502691896258	0.5773502691896258	0.5773502691896258	0.0	0.38490017945975064	0.05498573992282159	0.38490017945975064	-0.38490017945975047	0.4114755998989118	1.0	0.4375	0.25	0.25	0.3471825374147068	0.6666666666666666	0.4761904761904762	0.3333333333333333	0.3333333333333333	0.1781741612749496	0.33333333333333337	0.3333333333333334	0.33333333333333337	0.33333333333333337	5.99588961666477e-17	42	0.18
1	1.0000000000000024	0.38392854328317316	0.24999995499999636	-2.5000001444908088e-08	0.31609941598967223	0.9182958340544894	0.8035088547976783	0.9182958340544894	0.0	0.32466660569764305	2.6666666666666665							0.33333333333333337	0.1547619047619048	0.16666666666666666	0.0	0.1104477552653339	1.3333333333333337	0.29166666666666674	8.364024297136338e-17	-1.1157929005971732e-16	0.5473601872653642	1.0	0.125	0.0	0.0	0.3535533905932738	1.0	0.125	0.0	0.0	0.3535533905932738	0.375	0.5	0.4375	0.5	0.0	0.1767766952966369						0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.17817416127494962	1.0	0.875	1.0	0.0	0.3535533905932738	1.0	0.125	0.0	0.0	0.3535533905932738	8	7	8	0.17857142857142855	3	1.0	0	0	0.0	1.0	0.875	1.0	0.0	0.3535533905932738	0.5773502691896258	0.5051814855409227	0.5773502691896258	0.0	0.20412414523193154						1.0	0.34375	0.25	0.25	0.2651650429449553	1.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	0.17817416127494962	0.33333333333333337	0.2916666666666667	0.33333333333333337	0.0	0.11785113019775793	42	0.19
